source,success,method_used,articles_count,methods_tried,elapsed_seconds,url
TechCrunch,True,rss,14,rss,27.7,https://techcrunch.com
The Verge,True,rss,3,rss,22.4,https://www.theverge.com
Ars Technica,True,homepage,18,rss → api → html → homepage,83.4,https://arstechnica.com
Wired,True,rss,5,rss,36.7,https://www.wired.com
Engadget,True,rss,15,rss,83.4,https://www.engadget.com
CNET,True,rss,19,rss,172.1,https://www.cnet.com
ZDNet,True,rss,18,rss,111.6,https://www.zdnet.com
Mashable,True,rss,18,rss,32.5,https://mashable.com
VentureBeat,True,html,12,rss → api → html,41.3,https://venturebeat.com
The Next Web,True,rss,2,rss,3.0,https://thenextweb.com
TechRadar,True,html,31,rss → api → html,44.5,https://www.techradar.com
Tom's Hardware,True,rss,31,rss,49.8,https://www.tomshardware.com
AnandTech,False,,0,rss → api → html → homepage,178.6,https://www.anandtech.com
Gizmodo,True,rss,16,rss,12.7,https://gizmodo.com
Digital Trends,True,rss,12,rss,74.0,https://www.digitaltrends.com
MIT Technology Review,True,api,23,rss → api,7.1,https://www.technologyreview.com
IEEE Spectrum,True,rss,18,rss,51.2,https://spectrum.ieee.org
AI Business,False,,0,rss → api → html → homepage,34.0,https://aibusiness.com
Analytics India Magazine,True,rss,15,rss,34.8,https://analyticsindiamag.com
The AI Blog,True,homepage,19,rss → api → html → homepage,52.3,https://blogs.microsoft.com
Google AI Blog,True,rss,2,rss,171.3,https://ai.googleblog.com
OpenAI Blog,False,,0,rss → api → html → homepage,18.7,https://openai.com
Synced Review,False,,0,rss → api → html → homepage,47.2,https://syncedreview.com
Marktechpost,False,,0,rss → api → html → homepage,186.2,https://www.marktechpost.com
The Decoder,True,api,39,rss → api,33.8,https://the-decoder.com
Bloomberg Technology,False,,0,rss → api → html → homepage,27.0,https://www.bloomberg.com
Reuters Technology,False,,0,rss → api → html → homepage,15.6,https://www.reuters.com
CNBC Tech,True,html,23,rss → api → html,102.0,https://www.cnbc.com
Financial Times Tech,True,html,4,rss → api → html,97.7,https://www.ft.com
Wall Street Journal Tech,False,,0,rss → api → html → homepage,73.1,https://www.wsj.com
Fortune Tech,True,rss,9,rss,62.1,https://fortune.com
Forbes Tech,True,html,15,rss → api → html,34.9,https://www.forbes.com
Business Insider Tech,True,rss,7,rss,44.7,https://www.businessinsider.com
Yahoo Finance Tech,True,rss,7,rss,32.5,https://finance.yahoo.com
Seeking Alpha Tech,True,html,2,rss → api → html,21.1,https://seekingalpha.com
BBC Technology,True,homepage,2,rss → api → html → homepage,67.4,https://www.bbc.com
CNN Tech,True,html,8,rss → api → html,130.3,https://www.cnn.com
The Guardian Tech,True,rss,8,rss,7.7,https://www.theguardian.com
NY Times Tech,True,rss,4,rss,58.3,https://www.nytimes.com
Washington Post Tech,True,homepage,4,rss → api → html → homepage,318.6,https://www.washingtonpost.com
NPR Tech,True,rss,3,rss,72.3,https://www.npr.org
AP Tech,True,homepage,26,rss → api → html → homepage,106.8,https://apnews.com
Axios Tech,False,,0,rss → api → html → homepage,37.9,https://www.axios.com
The Atlantic Tech,True,rss,6,rss,161.0,https://www.theatlantic.com
Politico Tech,False,,0,rss → api → html → homepage,26.1,https://www.politico.com
SemiAnalysis,False,,0,rss → api → html → homepage,103.2,https://www.semianalysis.com
EE Times,True,rss,10,rss,291.1,https://www.eetimes.com
Semiconductor Engineering,True,rss,10,rss,96.3,https://semiengineering.com
CleanTechnica,True,rss,2,rss,37.1,https://cleantechnica.com
Electrek,True,api,20,rss → api,36.4,https://electrek.co
